,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
137,539591,99.0,7.233860000000001,CC(C)CCCC(C)NC[C@H]([C@H](Cc1ccccc1)NC(=O)c2cc(cc(c2)N(c3ccccc3)S(=O)(=O)C)N4CCCC4=O)O
138,539631,100.0,6.63099,CN1CCCC(C1)COc2cc3c(cc2Br)CCN3C(=O)Nc4ccc(c(c4)Cl)c5ccncc5
139,539718,100.0,6.5602100000000005,CCc1cc(c(cc1OC)O)c2c(cno2)c3ccc(o3)C(=O)OCC
140,539752,85.0,6.27529,CCN(CC)CCCCNc1cc(ccn1)c2c(nc([nH]2)C(C)(C)C)c3ccc4cc(ccc4c3)OC.C(=O)(C(F)(F)F)O
141,539753,100.0,6.60319,c1cc(cc(c1)c2[nH]c3ccc(cc3n2)F)c4cccc(c4)NC(=O)c5cccc(c5)C(=O)N
142,541271,100.0,6.27163,CCCCCCN(CCCCCC)CCCCNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl.Cl
143,539836,98.0,6.739739999999999,Cc1cccc2c1[nH]c(n2)c3ccc(s3)c4cccc(c4)CNC5CCN(CC5)C.C(=O)(C(F)(F)F)O
144,539838,99.0,6.07956,Cc1ccccc1C2CCN(CC2)C3CCC(CC3)NC(=O)/C=C/c4cc(cc(c4)F)F
145,542178,100.0,6.14096,CN1CCC(CC1)NCc2ccc(c(c2)c3cccc(c3)S(=O)(=O)NCc4ccccc4)OC.C(=O)(C(F)(F)F)O
146,539948,90.0,5.99072,CCCCN(c1nnc(s1)c2ccccc2C)C(=O)c3ccccc3Cl
147,539953,95.0,6.04942,Cc1cc(ccc1F)NC(=O)[C@H](C2CCCCC2)Nc3ccc(c4c3cccc4)C#N.C(=O)(C(F)(F)F)O
148,539994,97.0,6.6946699999999995,Cc1cc(=O)c(c([nH]1)C)c2ccc(cc2)Oc3cccc(c3)OC(F)(F)F
149,539996,94.0,6.18995,c1cscc1c2cnc(nc2c3nccs3)NCCCn4ccnc4
150,540036,100.0,6.15457,Cc1cc(c2cc(ccc2n1)OC)N/N=C/C=C/c3ccccc3
151,539448,100.0,6.18993,c1ccc(cc1)Nc2nccc(n2)NCC(c3cccc(c3)C(F)(F)F)O
152,475035,100.0,6.96259,CCNCc1ccc([nH]1)c2cc3c(s2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
153,539596,89.0,5.93121,CC(C)CNCc1cccc(c1)c2ccccc2CN(C3CCN(CC3)Cc4ccccc4)C(=O)NCCc5ccccc5.C(=O)(C(F)(F)F)O
154,539605,97.0,6.37764,CC(C)(C)C(=O)Oc1ccc(cc1OC(=O)C(C)(C)C)CC2c3cc(c(cc3CCN2)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C
